Company,Status,PDF_Report_DE,PDF_REPORT_EN,ZIP_REPORT_DE,ZIP_REPORT_EN,ESG,ESG EN,Notes
Addiko Bank AG,Complete,https://www.wienerborse.at/aktien-prime-market/addiko-bank-ag-AT000ADDIKO0/unternehmensprofil/?c2093%5Bfile%5D=VtCykYJZI2pmnNXPtuIm0A,https://www.wienerborse.at/en/stock-prime-market/addiko-bank-ag-AT000ADDIKO0/company-profile/?c11403%5Bfile%5D=8HvfIvaA2HiijBAPdP0-5A,https://www.wienerborse.at/aktien-prime-market/addiko-bank-ag-AT000ADDIKO0/unternehmensprofil/?c2093%5Bfile%5D=A6p7GfOxJSb9v6wJIVfojQ,,https://www.addiko.at/uploads/2024/04/Addiko-Bank-AG-Sustainability-Report-2023-DE-1.pdf,,
Agrana Beteiligungs-AG,Complete,https://www.wienerborse.at/aktien-prime-market/agrana-beteiligungs-ag-AT000AGRANA3/unternehmensprofil/?c2093%5Bfile%5D=D9xLwd25JICZ9pzLq15wDQ,https://www.wienerborse.at/en/stock-prime-market/agrana-beteiligungs-ag-AT000AGRANA3/company-profile/?c11403%5Bfile%5D=5FNZeSytQkREOPvykE_9bg,https://www.wienerborse.at/aktien-prime-market/agrana-beteiligungs-ag-AT000AGRANA3/unternehmensprofil/?c2093%5Bfile%5D=MeU2_jsW6-D82YTSi-qe8A,,https://reports.agrana.com/fileadmin/inhalte/2024/AGRANA_iGB_2023_24_DE_web.pdf,https://www.agrana.com/fileadmin/inhalte/agrana_group/annual_reports/2022_23/AGRANA_iAR_2022_23_EN_web.pdf,Integrated report
AMAG Austria Metall AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/amag-austria-metall-ag-AT00000AMAG3/company-profile/?c11403%5Bfile%5D=11Zrb26PSNJ547t-MG-g4Q,https://www.wienerborse.at/aktien-prime-market/amag-austria-metall-ag-AT00000AMAG3/unternehmensprofil/?c2093%5Bfile%5D=jNDpcbn0UT7UVRg-3rpxjg,,https://www.amag-al4u.com/fileadmin/user_upload/amag/Investor_Relations/Publikationen/2023/AMAG_GJ2023_Finanzbericht_de_01.pdf,https://www.amag-al4u.com/fileadmin/user_upload/amag/Investor_Relations/Publikationen/2023/AMAG_GJ2023_Finanzbericht_en_01.pdf#page=7,Integrated report
Andritz AG,Complete,https://www.wienerborse.at/aktien-prime-market/andritz-ag-AT0000730007/unternehmensprofil/?c2093%5Bfile%5D=ed4hEJSTRyo8Fpc21cHXvQ,https://www.wienerborse.at/en/stock-prime-market/andritz-ag-AT0000730007/company-profile/?c11403%5Bfile%5D=jJmLYHlZyK7ljnx3vzpYwQ,https://www.wienerborse.at/aktien-prime-market/andritz-ag-AT0000730007/unternehmensprofil/?c2093%5Bfile%5D=cPhUVDH-ny_6RvLvXDONIQ,,https://www.andritz.com/resource/blob/542952/21598e3a4058bd84a4b94e855773a3f3/andritz-financial-report-2023-e-data.pdf,https://www.andritz.com/resource/blob/542952/21598e3a4058bd84a4b94e855773a3f3/andritz-financial-report-2023-e-data.pdf,Integrated report
AT&S Austria Tech.&Systemtech.,Complete,https://www.wienerborse.at/aktien-prime-market/at-s-austria-tech-systemtech-AT0000969985/unternehmensprofil/?c2093%5Bfile%5D=Fas4LIsifeINymvxY-yjFQ,https://www.wienerborse.at/en/stock-prime-market/at-s-austria-tech-systemtech-AT0000969985/company-profile/?c11403%5Bfile%5D=yAUcnPoRda6JYqySxdo9mA,https://www.wienerborse.at/aktien-prime-market/at-s-austria-tech-systemtech-AT0000969985/unternehmensprofil/?c2093%5Bfile%5D=OiTK2nVemK-9TUVPtFMZ-w,https://www.wienerborse.at/en/stock-prime-market/at-s-austria-tech-systemtech-AT0000969985/company-profile/?c11403%5Bfile%5D=HwNCo1UzugPbor88-j6_QA,https://ats.net/download/nachhaltigkeitsbericht-2023-24/?wpdmdl=34703&refresh=668ea5ef05b4d1720624623,https://ats.net/en/download/sustainability-report-2023-24/?wpdmdl=34704&refresh=67627f339f2fc1734508339,Standalone
AUSTRIACARD HOLDINGS AG,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/austriacard-holdings-ag-AT0000A325L0/unternehmensprofil/?c2093%5Bfile%5D=zfDtsJQ0Ch_2gGo1NuAJUA,https://www.wienerborse.at/en/stock-prime-market/austriacard-holdings-ag-AT0000A325L0/company-profile/?c11403%5Bfile%5D=9bNSBiaiq0xtHYLHmf8UKQ,https://www.austriacard.com/wp-content/uploads/2024/03/2023-_-ACAG-NFRD-DE-.pdf,https://www.austriacard.com/wp-content/uploads/2024/06/2023_ACAG-NFRD-EN.pdf,Does not follow standards 
BAWAG Group AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/bawag-group-ag-AT0000BAWAG2/company-profile/?c11403%5Bfile%5D=XH6N_HLQOmKGxufkNkDqXA,https://www.wienerborse.at/aktien-prime-market/bawag-group-ag-AT0000BAWAG2/unternehmensprofil/?c2093%5Bfile%5D=6fl-XCLeE4iIKMy7c6u0Sw,,https://www.bawaggroup.com/resource/blob/78994/5b2f73a859493e7c2a32336d3e88c0e9/consolidated-non-financial-report-for-the-financial-year-2023-data.pdf,https://www.bawaggroup.com/resource/blob/78994/5b2f73a859493e7c2a32336d3e88c0e9/consolidated-non-financial-report-for-the-financial-year-2023-data.pdf,Standalone
CA Immobilien Anlagen AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/ca-immobilien-anlagen-ag-AT0000641352/company-profile/?c11403%5Bfile%5D=w5O6yldarLi9YxA-LByFTA,https://www.wienerborse.at/aktien-prime-market/ca-immobilien-anlagen-ag-AT0000641352/unternehmensprofil/?c2093%5Bfile%5D=qTSBMe4fLtTC68P2le7y_Q,,https://www.caimmo.com/fileadmin/documents/ESG_Nachhaltigkeit/Nachhaltigkeitsbericht_2023.pdf,https://www.caimmo.com/fileadmin/documents/ESG_Nachhaltigkeit/ESG_Report_2023_01.pdf,Standalone
DO & CO AG,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/do-co-aktiengesellschaft-AT0000818802/unternehmensprofil/?c2093%5Bfile%5D=QWbvt-UeUibMa_j15s18pw,https://www.wienerborse.at/en/stock-prime-market/do-co-aktiengesellschaft-AT0000818802/company-profile/?c11403%5Bfile%5D=DX-w4MKW3w8uDerv4t7YGQ,https://www.doco.com/Portals/8/dokumente/de/Hauptversammlung/2024/CSR-Report_DE_GJ2324.pdf,https://www.doco.com/Portals/8/dokumente/en/Hauptversammlung/2024/CSR-Report_EN_FY2324.pdf,Standalone
Erste Group Bank AG,Complete,https://www.wienerborse.at/aktien-prime-market/erste-group-bank-ag-AT0000652011/unternehmensprofil/?c2093%5Bfile%5D=nOAiIewo2rJbZd8Z0RHMCg,https://www.wienerborse.at/en/stock-prime-market/erste-group-bank-ag-AT0000652011/company-profile/?c11403%5Bfile%5D=VOA3wu0PLAECTi49Knjh5g,https://www.wienerborse.at/aktien-prime-market/erste-group-bank-ag-AT0000652011/unternehmensprofil/?c2093%5Bfile%5D=REVr3IQKHXK8yRt3s7dxsw,,https://cdn0.erstegroup.com/content/dam/at/eh/www_erstegroup_com/en/Investor_Relations/onlineAR2023/ar23reports/AR2023_non-financial_report_en.pdf?forceDownload=1,https://cdn0.erstegroup.com/content/dam/at/eh/www_erstegroup_com/en/Investor_Relations/onlineAR2023/ar23reports/AR2023_non-financial_report_en.pdf?forceDownload=1,Standalone
